Company,Rating,Reviews,company_type,salary,Interview_count,Jobs_available,highly_rated_for,critically_rated_for
TCS,3.6k,97.1k,"IT Services & Consulting - Bangalore , Bengaluru +413 other locations",9.1L,11k,178,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Accenture,3.8k,62.6k,"IT Services & Consulting - Bangalore , Bengaluru +227 other locations",6.1L,8.6k,11.6k,,"Promotions / Appraisal, Salary & Benefits"
Wipro,3.7k,56.8k,"IT Services & Consulting - Bangalore , Bengaluru +358 other locations",4.6L,6k,6.5k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Cognizant,3.7k,54k,"IT Services & Consulting - Hyderabad , Secunderabad +212 other locations",5.9L,5.9k,659,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Capgemini,3.7k,45.6k,"IT Services & Consulting - Bangalore , Bengaluru +172 other locations",4.5L,5k,1.6k,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HDFC Bank,3.9k,43k,Banking - Mumbai +1693 other locations,1.4L,2.4k,179,"Job Security, Skill Development / Learning",Promotions / Appraisal
Infosys,3.6k,42.5k,"IT Services & Consulting - Bangalore , Bengaluru +228 other locations",4.9L,7.9k,1.8k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
ICICI Bank,4.0k,41.6k,Banking - Mumbai +1392 other locations,1.5L,2.6k,3,"Job Security, Skill Development / Learning, Company Culture",
HCLTech,3.5k,39.2k,IT Services & Consulting - Chennai +216 other locations,3.5L,4.1k,382,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,3.5k,37.8k,"IT Services & Consulting - Hyderabad , Secunderabad +320 other locations",2.7L,4.1k,399,,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,3.8k,35.4k,"IT Services & Consulting - Hyderabad , Secunderabad +160 other locations",2.1L,3.3k,439,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
Teleperformance,3.9k,32.1k,BPO - Mumbai +245 other locations,92k,1.9k,332,"Company Culture, Work Life Balance, Job Security",
Concentrix Corporation,3.7k,28.3k,"BPO - Bangalore , Bengaluru +165 other locations",1.2L,1.7k,124,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
